ID_SEM_COMM,GROUPE,SOMME_PART,SOMME_PRO,OCC_PART,OCC_PRO
S1,Agence1,487.2,324.8,37,15
S1,Agence2,687.6,458.40000000000003,38,16
S1,Agence3,634.1999999999999,422.8,37,16
S2,Agence1,771.0,514.0,29,12
S2,Agence2,698.4,465.6,31,13
S2,Agence3,757.1999999999999,504.8,31,13
S3,Agence1,631.1999999999999,420.8,40,17
S3,Agence2,636.0,424.0,43,18
S3,Agence3,730.8,487.20000000000005,37,15
S4,Agence1,772.8,515.2,42,18
S4,Agence2,837.6,558.4,36,15
S4,Agence3,683.4,455.6,45,19
S5,Agence1,730.8,487.20000000000005,47,20
S5,Agence2,882.0,588.0,35,15
S5,Agence3,768.6,512.4,35,15
